UID,Name,Position,Pens Saved Ratio,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
2002059544,David Brungs,GK,25%,4,11,6,10,6,2,4,1,4,4,7,1,6,11,9,2,13,3,6,5,7,7,4,2,2,2,1,6,1,3,2,2,3,2,1,1,6,1,3,10,12,8,5,15,12,9,2,11,4,9,12,10,6,12,8,8,5,- -  -,Ctr
2000229118,Richard Nyirenda,GK,50%,10,10,5,12,12,9,4,4,11,7,14,3,11,11,8,2,11,1,6,5,5,4,2,1,1,1,1,6,1,3,2,1,6,3,3,1,12,8,7,5,11,10,7,11,11,6,8,12,10,3,13,1,5,12,12,11,20,- -  -,
2000228812,Arsene Cyrille Evouna,GK,22%,13,13,7,15,14,12,1,5,15,6,9,7,8,13,3,3,5,1,11,7,2,5,5,1,3,1,4,8,1,2,2,2,12,3,3,5,12,8,7,5,13,11,8,6,13,7,10,13,12,6,13,6,5,9,10,9,10,- -  -,
2000226301,Mikias Doji,GK,20%,9,14,5,6,8,6,4,8,5,8,12,5,6,12,11,3,9,2,7,5,4,4,2,1,3,2,1,5,1,1,1,1,8,1,3,1,9,9,7,5,12,10,5,8,12,8,4,14,9,8,6,10,15,14,12,11,14,- -  -,
2000223595,Idrissou Nfor,GK,25%,10,6,6,9,9,12,1,3,6,9,11,4,7,14,12,3,13,3,7,6,5,4,4,2,3,1,2,5,1,2,1,3,8,1,3,2,12,10,9,11,10,9,12,9,13,5,4,11,17,4,10,11,5,12,10,7,19,- -  -,
2000217915,Miguel Cordero,GK,25%,12,16,8,9,14,12,4,7,5,11,15,8,9,9,13,3,4,3,12,8,7,7,3,2,1,1,5,7,1,2,2,1,10,3,1,1,14,12,8,5,10,9,6,5,9,9,7,11,13,8,15,4,10,14,12,13,18,- -  -,
2000217758,Ndongo Diop,GK,25%,11,10,10,14,10,8,7,12,9,10,10,10,12,9,12,3,7,1,11,12,11,11,4,3,3,3,10,6,8,3,1,2,10,4,1,11,16,10,11,17,11,10,12,16,12,14,13,8,18,2,11,18,10,17,18,9,12,- -  -,
2000217180,Simon Masaka,GK,33%,12,14,6,9,5,12,5,4,6,13,12,7,8,9,18,3,7,3,11,6,6,6,3,3,2,3,1,6,1,1,2,3,7,3,2,3,12,9,6,5,12,9,6,12,12,13,10,12,9,2,5,2,5,11,12,12,17,- -  -,
2000211237,José Antonio Castillo,GK,40%,11,8,9,7,11,11,1,7,13,5,13,4,13,14,16,3,2,3,6,7,5,5,2,2,2,2,5,5,1,3,3,3,8,2,1,1,10,13,9,5,13,12,9,9,12,8,6,11,18,1,6,6,6,13,12,8,13,- -  -,
2000197473,Sajjad Kazem,GK,67%,12,8,7,12,9,10,1,8,8,7,15,7,9,13,9,1,13,2,9,7,6,6,2,2,1,3,1,4,1,2,3,1,7,4,2,5,13,9,7,5,13,5,8,9,13,13,8,10,10,5,8,3,5,8,12,11,16,- -  -,
2000193375,Omar Al-Zoubi,GK,33%,11,14,6,9,15,8,1,5,5,12,15,7,5,10,12,1,11,1,8,6,6,5,4,3,1,2,4,7,1,1,3,1,7,2,1,3,12,10,6,5,12,7,8,12,12,5,7,9,9,3,6,8,7,12,9,11,17,- -  -,
2000189910,Udoh Okeychukwu,GK,20%,9,13,6,12,9,9,3,5,5,10,15,8,10,10,16,2,11,1,10,7,7,6,5,3,3,3,4,6,1,1,1,1,11,3,1,3,13,14,13,5,13,14,10,11,13,12,7,9,20,6,9,16,13,11,13,10,10,- -  -,
2000188816,Marwan Salah,GK,60%,10,11,9,17,11,10,13,14,6,11,9,10,13,10,18,3,10,1,12,11,9,8,1,3,3,1,7,3,2,1,1,1,10,3,3,8,12,13,12,5,11,11,11,12,13,9,13,16,16,3,8,14,5,13,15,10,10,- -  -,
2000179151,Ward Kabha,GK,25%,12,5,7,13,15,13,6,6,6,10,12,7,6,13,8,2,10,3,6,7,7,3,3,3,2,3,4,7,1,3,3,2,7,3,3,1,13,7,8,5,13,10,8,11,13,5,6,11,20,7,7,13,11,13,13,11,11,- -  -,
2000178759,Gilberto Dennis,GK,33%,13,9,8,7,10,12,5,7,8,9,13,7,12,14,4,2,9,2,10,8,7,7,2,1,1,1,3,4,1,3,1,2,11,3,2,6,9,9,6,5,14,7,7,12,14,5,7,12,12,7,8,13,6,10,1,11,16,- -  -,
2000176264,Fikru Wedesa,GK,33%,9,13,7,12,6,12,3,4,15,9,11,7,10,13,15,3,7,3,10,7,6,6,4,1,1,2,1,9,1,3,2,2,11,3,3,6,9,8,11,5,13,10,5,8,9,11,9,12,5,8,11,5,7,9,12,11,13,- -  -,
2000173583,François Decoret,GK,25%,11,7,6,11,14,9,1,8,12,11,11,6,7,9,7,1,12,2,8,6,2,4,2,2,2,2,1,6,1,3,1,3,8,2,3,3,12,10,6,10,13,6,5,10,13,8,3,11,13,4,11,7,13,11,8,12,20,- -  -,
2000171171,Haroun Al Beri,GK,25%,9,12,7,9,8,9,6,5,13,6,15,7,8,13,7,2,3,1,11,5,6,6,2,3,3,1,2,4,1,1,1,1,10,3,3,6,13,12,12,5,12,7,8,5,13,5,11,14,18,2,8,2,5,9,8,11,20,- -  -,
2000167333,Daniel Teshome,GK,50%,11,12,6,14,9,10,5,6,9,10,12,5,12,12,4,2,6,2,11,6,5,5,4,3,3,1,4,7,1,1,1,2,11,1,2,1,12,6,7,5,12,10,7,9,11,12,5,13,11,2,8,10,7,7,12,11,15,- -  -,
2000166016,Thero Moatswi,GK,25%,11,6,7,9,14,10,3,8,5,8,15,6,8,13,14,1,13,1,8,7,6,6,3,1,1,1,2,6,1,3,3,2,11,3,3,5,12,10,8,5,13,7,9,6,13,7,7,15,10,2,12,2,6,12,11,11,17,- -  -,
2000163798,Aaron Enill,GK,25%,13,7,8,7,12,12,7,5,11,9,9,8,11,14,12,2,4,3,12,8,7,7,5,3,2,1,5,8,1,3,3,3,9,1,2,1,13,9,11,5,14,8,10,8,14,8,6,12,13,6,8,3,7,11,13,9,15,- -  -,
2000163527,Gianluca Tomasini,GK,18%,10,10,5,5,15,12,10,4,8,10,14,7,10,12,14,7,4,3,10,4,4,5,2,2,3,5,7,5,1,3,3,3,6,1,1,7,6,6,7,5,6,6,5,7,11,8,6,10,9,2,6,20,11,13,9,13,15,- -  -,Ctr
